Bin	Count
0	977
1	1787
2	2087
3	2441
4	2562
5	2700
6	2822
7	2822
8	2772
9	2894
10	2767
11	2819
12	2722
13	2792
14	2732
15	2622
16	2587
17	2455
18	2481
19	2303
20	2208
21	2177
22	2075
23	1937
24	2000
25	1868
26	1800
27	1719
28	1644
29	1597
30	1559
31	1426
32	1340
33	1387
34	1260
35	1246
36	1188
37	1155
38	1045
39	1064
40	943
41	978
42	927
43	792
44	781
45	832
46	704
47	658
48	645
49	629
50	561
51	523
52	506
53	508
54	461
55	448
56	463
57	395
58	401
59	357
60	332
61	334
62	297
63	281
64	289
65	228
66	252
67	255
68	216
69	196
70	229
71	175
72	187
73	185
74	147
75	156
76	141
77	126
78	123
79	129
80	117
81	99
82	90
83	93
84	89
85	78
86	92
87	69
88	82
89	72
90	63
91	66
92	51
93	48
94	49
95	39
96	48
97	41
98	43
99	42
